Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
21/04/95,Celje,Rudar Velenje,3,2,H
22/04/95,Živila Naklo,Izola,1,1,D
22/04/95,Ljubljana,Maribor,0,0,D
22/04/95,Koper,Olimpija Ljubljana,1,1,D
22/04/95,Mura,Primorje,0,0,D
23/04/95,Set Vevče,Potrošnik Beltinci,1,3,A
23/04/95,Gorica,Jadran Dekani,7,0,H
23/04/95,Relax Korotan,Gaj Kočevje,5,0,H
29/04/95,Jadran Dekani,Potrošnik Beltinci,1,3,A
30/04/95,Olimpija Ljubljana,Celje,2,1,H
30/04/95,Mura,Set Vevče,2,0,H
30/04/95,Primorje,Relax Korotan,4,3,H
30/04/95,Gaj Kočevje,Koper,2,1,H
30/04/95,Rudar Velenje,Ljubljana,4,1,H
30/04/95,Maribor,Živila Naklo,5,1,H
30/04/95,Izola,Gorica,1,3,A
05/05/95,Celje,Gaj Kočevje,4,0,H
06/05/95,Set Vevče,Jadran Dekani,2,0,H
07/05/95,Potrošnik Beltinci,Izola,6,1,H
07/05/95,Gorica,Maribor,1,0,H
07/05/95,Živila Naklo,Rudar Velenje,0,3,A
07/05/95,Ljubljana,Olimpija Ljubljana,1,1,D
07/05/95,Koper,Primorje,1,1,D
07/05/95,Relax Korotan,Mura,1,0,H
13/05/95,Mura,Koper,3,2,H
14/05/95,Gaj Kočevje,Ljubljana,0,1,A
14/05/95,Olimpija Ljubljana,Živila Naklo,0,2,A
14/05/95,Rudar Velenje,Gorica,1,0,H
14/05/95,Izola,Jadran Dekani,3,0,H
14/05/95,Primorje,Celje,2,1,H
14/05/95,Relax Korotan,Set Vevče,2,0,H
14/05/95,Maribor,Potrošnik Beltinci,1,2,A
19/05/95,Celje,Mura,0,0,D
20/05/95,Ljubljana,Primorje,1,2,A
20/05/95,Jadran Dekani,Maribor,0,7,A
21/05/95,Potrošnik Beltinci,Rudar Velenje,3,3,D
21/05/95,Živila Naklo,Gaj Kočevje,8,0,H
21/05/95,Koper,Relax Korotan,2,2,D
21/05/95,Gorica,Olimpija Ljubljana,2,1,H
21/05/95,Set Vevče,Izola,6,1,H
28/05/95,Relax Korotan,Celje,1,3,A
28/05/95,Koper,Set Vevče,1,0,H
28/05/95,Mura,Ljubljana,1,0,H
28/05/95,Primorje,Živila Naklo,4,2,H
28/05/95,Rudar Velenje,Jadran Dekani,4,0,H
28/05/95,Gaj Kočevje,Gorica,1,8,A
28/05/95,Maribor,Izola,5,0,H
29/05/95,Olimpija Ljubljana,Potrošnik Beltinci,1,1,D
31/05/95,Celje,Koper,2,0,H
31/05/95,Jadran Dekani,Olimpija Ljubljana,0,5,A
31/05/95,Set Vevče,Maribor,0,1,A
31/05/95,Izola,Rudar Velenje,1,3,A
31/05/95,Potrošnik Beltinci,Gaj Kočevje,8,0,H
31/05/95,Gorica,Primorje,3,1,H
31/05/95,Živila Naklo,Mura,0,2,A
31/05/95,Ljubljana,Relax Korotan,1,2,A
